idCode,itemCode,koreanName,Update,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61
Y1,A3,스텐볼트,2022-02-13,standard,10,12,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,100,110,120,130,140,150,160,170,180,190,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,A3,스텐볼트,2022-02-13,M3,40,40,42,47,54,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y3,A3,스텐볼트,2022-02-13,M4,34,34,39,39,46,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y4,A3,스텐볼트,2022-02-13,M5,48,48,51,55,62,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y5,A3,스텐볼트,2022-02-13,M6,54,54,60,63,67,73,81,88,96,106,114,123,140,143,147,154,,173,189,316,349,391,426,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y6,A3,스텐볼트,2022-02-13,M8,,,103,114,127,141,158,173,187,202,219,233,248,262,277,291,,322,355,386,432,465,496,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y7,A3,스텐볼트,2022-02-13,M10,,,192,192,208,229,250,271,292,315,335,359,377,405,425,444,,488,537,585,634,673,714,788,1110,1165,1261,1320,1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y8,A3,스텐볼트,2022-02-13,M12,,,,312,312,339,366,396,432,458,488,521,555,585,615,645,,706,779,840,904,964,1025,1092,1515,1603,1697,1811,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9,A3,스텐볼트,2022-02-13,M14,,,,,487,535,579,623,670,729,740,807,831,899,916,982,,1043,1128,1209,1291,1381,1468,1550,2290,2403,2528,2641,2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y10,A3,스텐볼트,2022-02-13,M16,,,,,625,671,715,775,832,877,941,1001,1052,1106,1168,1221,,1330,1487,1661,1786,1903,2037,2137,2253,2370,2503,2620,2738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y11,A3,스텐볼트,2022-02-13,M18,,,,,,1287,1287,1287,1341,1395,1494,1566,1645,1719,1796,1891,,2039,2184,2849,2988,3236,3422,3692,4729,4980,5227,5496,5727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y12,A3,스텐볼트,2022-02-13,M20,,,,,,,,1503,1536,1600,1686,1786,1887,1986,2070,2170,2269,2354,2537,2720,2903,3071,3254,3455,3672,3839,4006,4189,4357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
